R625_220;size=6
R1504_38;size=1
R1821_10;size=2
R1544_42;size=98
R1000_10;size=35
R2070_6;size=14
R184_114;size=126
R909_88;size=84
R1260_106;size=15
R809_49;size=4
R813_49;size=3
R1164_76;size=2
R439_106;size=22
R2099_17;size=24
R1092_40;size=82
R144_99;size=28
R1239_75;size=21
R2360_8;size=11
R565_112;size=10
R903_76;size=3
R922_75;size=3
R1324_70;size=2
R1943_45;size=2
R1328_68;size=1
R911_75;size=1
R1568_48;size=2
R2279_14;size=5
R4212;size=78
R2207_14;size=66
R2423_19;size=35
R1581_35;size=30
R1280_66;size=26
R52_174;size=26
R1278_117;size=25
R625_206;size=22
R559_198;size=19
R1262_68;size=18
R2225_2;size=17
R1289_96;size=15
R1579_57;size=14
R2808_8;size=14
R1310_64;size=13
R2482_17;size=11
R1052_81;size=10
R1399_39;size=9
R1346_90;size=8
R2087_39;size=8
R1664_55;size=6
R677_187;size=5
R1338_91;size=4
R1515_99;size=3
R2825_8;size=3
R1549_20;size=2
R894_180;size=2
R1357_89;size=1
R1746_50;size=1
R686_187;size=1
R978_185;size=1
R1745_22;size=6
R845_49;size=3
R1408_39;size=8
R1393_106;size=9
R1424_103;size=9
R1268_101;size=17
R607_154;size=34
R2805_8;size=3
R1180_40;size=2
R1209_40;size=1
R1385_10;size=53
R850_49;size=1
R2034;size=17
R1449_101;size=1
R1450_101;size=1
R3794_3;size=5
R1040_29;size=11
R48_184;size=25
R2331_2;size=24
R565_72;size=4
R1327_93;size=1
R870_142;size=15
R1149_76;size=8
R852_59;size=5
R1174_74;size=2
R1433_102;size=3
R958_85;size=11
R635_192;size=7
R758_61;size=13
R1522_92;size=6
R1591_4;size=80
R493_59;size=33
R1352_57;size=16
R2043_12;size=14
R2040_13;size=3
R2162_9;size=1
R834_79;size=12
R1314_79;size=27
R1092_98;size=26
R765_69;size=12
R1189_109;size=4
R1504_6;size=49
R2316_2;size=11
R1171_10;size=9
R1754_5;size=8
R2372_2;size=6
R2274_2;size=2
R623_131;size=8
R2276_2;size=7
R2393_2;size=4
R2391_2;size=2
R186_212;size=31
