"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","auc_explain","auc_test"
164,0,1,0.25,0.75,1,0.5,"relu",0.3,0.9,0.828327085681317,0.65928757035401
165,0.1,0.7,1,0.25,1,0.3,"relu",0.8,0.7,0.83150030968467,0.655770395298508
166,0.3,0.8,0,0,2,0.5,"relu",0.2,0.3,0.76019986458745,0.593349552350078
167,0.2,1,0.5,0.25,1,0.5,"relu",0.8,0.2,0.747765889855509,0.632760561139285
168,0.2,0.7,0,0.25,1,0.1,"relu",0.1,0,0.918400965879601,0.645303296532488
169,0,0.7,0.5,0.25,2,0.3,"relu",0.8,0.6,0.840555387628883,0.66752211737515
170,0.3,0.7,0.25,1,1,0.1,"relu",0.5,0.8,0.909143706944945,0.6505055654286
171,0,0.9,1,0.75,2,0.3,"relu",1,0.5,0.845276633961669,0.66457483059741
172,0.1,0.7,0.5,1,1,0.3,"relu",0.2,0.1,0.866534067510493,0.663228463476184
173,0.2,1,0,1,2,0.1,"relu",1,0.8,0.91813185377304,0.657534975985602
174,0.1,1,1,0.75,1,0.5,"relu",0.4,0.6,0.745473155752411,0.633254613153108
175,0.3,1,0,0.75,2,0.1,"relu",0.6,0.1,0.922967111544687,0.650864593395571
176,0.2,0.7,0.75,1,1,0.5,"relu",0.9,0.5,0.767535581988294,0.624796093516391
177,0,0.8,0,0.75,1,0.3,"relu",0,0,0.863673700413537,0.639218144500061
178,0.1,1,1,0.5,1,0.3,"relu",1,0.9,0.85227626911647,0.664330675596032
179,0,0.7,0.5,0,1,0.5,"relu",0.3,0.9,0.810005288922251,0.656104786657885
180,0,0.8,0.75,0.25,1,0.1,"relu",0.1,0.1,0.896734554664356,0.655281971300149
181,0.1,0.7,0.5,0.5,2,0.3,"relu",0.4,0.4,0.827160250368401,0.667586230544202
182,0,0.9,0.75,0.75,2,0.1,"relu",0,0,0.866415575944573,0.650593920128794
183,0,1,1,0.75,2,0.5,"relu",0.7,1,0.763163375466404,0.635490179198176
184,0,0.8,0.5,0.5,1,0.3,"relu",0.1,0.7,0.870854646224635,0.665541471261951
185,0.1,1,1,1,1,0.3,"relu",0.5,0.9,0.85928572066393,0.659971281618942
186,0,0.8,0.25,1,1,0.5,"relu",0.7,1,0.83537579869724,0.654438634332503
187,0.3,1,0.25,0.5,2,0.1,"relu",0,0.8,0.860692816866385,0.631703093503069
188,0,0.7,0.25,0,1,0.5,"relu",0.1,0,0.800857227372511,0.64901421694393
189,0.2,1,1,0,2,0.5,"relu",0,0.2,0.692486879376411,0.596456685426634
190,0.3,0.8,0,0.25,2,0.1,"relu",0.4,0.3,0.913006483153773,0.651807068362558
191,0.1,0.8,0.25,0.75,1,0.1,"relu",0.9,0.9,0.8942913609541,0.648201013710763
192,0,0.8,0,0.75,2,0.5,"relu",0.4,0,0.805233945867231,0.620282375224082
193,0.1,0.7,0.25,0.25,1,0.3,"relu",0.5,0.9,0.844810755971506,0.661012358078297
194,0.3,0.8,0.75,0.75,1,0.5,"relu",0.4,0.8,0.752372433951873,0.630280937969094
195,0,0.8,0.75,0.5,1,0.1,"relu",0.7,0,0.890752413586041,0.65150218287906
196,0,1,0.75,0,2,0.5,"relu",0.3,0.4,0.776548075636066,0.653590836321076
197,0,0.7,0.25,0.25,2,0.3,"relu",0.8,0.9,0.841500228434667,0.657595388365986
198,0.3,0.9,0.75,0.75,1,0.3,"relu",0.7,0.8,0.848630581211008,0.658395506491417
199,0.2,1,0.5,0.25,2,0.3,"relu",0.4,0.6,0.815548220584837,0.651713539979301
200,0,0.7,0.75,0,1,0.3,"relu",0.7,0.2,0.862419618549185,0.667666094191238
201,0,0.9,0.75,0.25,2,0.1,"relu",0.6,0.2,0.897602225845068,0.655161359150197
202,0.2,0.9,0.25,0.25,2,0.3,"relu",1,0.4,0.82081387583717,0.663381401664534
203,0.1,0.9,0.5,1,1,0.3,"relu",1,0.6,0.865547748829165,0.662846130304028
204,0,0.8,0.25,1,1,0.3,"relu",0.5,0.9,0.893427385833689,0.665978479838305
205,0.1,0.8,1,0.25,2,0.3,"relu",0.4,0,0.825331433144338,0.663135955868623
206,0.3,0.8,0,0.75,1,0.1,"relu",0.3,0.8,0.927865451025824,0.644117256313073
207,0.1,0.7,0.5,0.75,2,0.5,"relu",0.7,0.3,0.69745066027171,0.591789962949563
208,0.3,0.8,0.25,0.5,1,0.5,"relu",0.8,0.2,0.743586821678881,0.625391368264147
209,0,0.8,1,1,2,0.5,"relu",0.2,0.6,0.794749756522627,0.636738612021238
210,0.1,0.8,0.75,0.5,1,0.1,"relu",0,0.6,0.822074111427914,0.635471034553182
211,0.2,0.8,0.75,0.75,2,0.3,"relu",0,0.8,0.784608901161208,0.626687280892142
212,0.2,0.8,0,0.75,2,0.3,"relu",1,0.6,0.854830728706103,0.644957686220954
213,0.1,0.9,0.75,0.75,2,0.3,"relu",0.5,0,0.815271029000157,0.655333485942432
214,0.2,1,0.75,1,2,0.1,"relu",0.6,0.5,0.894270046887508,0.656061689079214
215,0.3,0.7,0,0,1,0.1,"relu",0.1,0.9,0.900090184961625,0.63647052986199
216,0.1,0.8,0,0.5,1,0.5,"relu",0.3,0.6,0.786851585041954,0.616279849019587
217,0.3,0.8,0.75,0.25,2,0.5,"relu",0.3,0,0.696000086107761,0.592620152340712
218,0.1,0.9,0.25,0,1,0.1,"relu",0,0.9,0.855871095671252,0.62973629775384
219,0,0.7,0,0.5,1,0.1,"relu",0.7,0.7,0.937257703008899,0.651236037850523
220,0,0.8,0.75,0.75,2,0.3,"relu",0.5,0.2,0.844917222045156,0.668265685930136
221,0,0.8,0.5,0,2,0.5,"relu",0.6,1,0.772738078686542,0.639968241980244
222,0.3,0.7,1,0.5,2,0.3,"relu",0.6,0.3,0.822576844130718,0.655515597262875
223,0,1,0,0.75,2,0.3,"relu",0.1,0.4,0.873421134718466,0.652098843949023
224,0.2,0.9,0.25,0.75,2,0.5,"relu",0.7,0.2,0.727235906630622,0.608323626795633
