Sample	r_processed	r_with_adapters	bp_processed	quality_trimmed	percent_trimmed	bp_written
268355-M1-S1_BDSW190603021-1a_2	47067729	17801647	7060159350	15564639	0.6555283203345829	7013878006
268355-M1-S2_BDSW190603022-1a_1	25760062	9864027	3864009300	6028201	0.5764370960494324	3841735717
268355-M1-S2_BDSW190603022-1a_2	25760062	9828806	3864009300	7318453	0.6361460103111035	3839428559
268355-M2-S2_BDSW190603023-1a_1	30333305	11519553	4549995750	9057660	0.6396450370310786	4520891928
268355-M2-S2_BDSW190603023-1a_2	30333305	11506046	4549995750	12077505	0.7327096294540495	4516657493
268413-M1-S1_BDSW190603024-1a_1	31217030	11764486	4682554500	13980353	0.8090221694162877	4644671596
268413-M1-S1_BDSW190603024-1a_2	31217030	11688630	4682554500	14816889	0.8520698904839228	4642655863
268413-M1-S2_BDSW190603025-1a_1	31365715	12000521	4704857250	9207800	0.6426619851218652	4674620921
268413-M1-S2_BDSW190603025-1a_2	31365715	11972421	4704857250	11375746	0.7145594906200395	4671238246
279822-M1-S1_BDSW190603026-1a_1	34552637	13332128	5182895550	12720428	0.6612282587867317	5148624780
279822-M1-S1_BDSW190603026-1a_2	34552637	13154712	5182895550	15435189	0.7215725194384826	5145497200
279822-M1-S2_BDSW190603027-1a_1	35427322	13531466	5314098300	14111671	0.7031040807054698	5276734658
279822-M1-S2_BDSW190603027-1a_2	35427322	13456832	5314098300	14755654	0.7378687744635811	5274887228
280500-M1-S1_BDSW190603028-1a_1	35453877	13385040	5318081550	9181854	0.5912630655315919	5286637698
280500-M1-S1_BDSW190603028-1a_2	35453877	13356603	5318081550	11048018	0.6466681203863826	5283691212
280500-M1-S2_BDSW190603029-1a_1	31871248	12065574	4780687200	9016854	0.6345747950211008	4750350164
280500-M1-S2_BDSW190603029-1a_2	31871248	12051468	4780687200	11557392	0.7149599329569188	4746507202
286789-M1-S1_BDSW190603030-1a_1	25413474	9587379	3812021100	7645792	0.6134427220248073	3788636534
286789-M1-S1_BDSW190603030-1a_2	25413474	9580909	3812021100	9125864	0.6682360441289268	3786547801
286789-M1-S2_BDSW190603031-1a_1	26454502	10089432	3968175300	7245770	0.6440792572848281	3942617106
286789-M1-S2_BDSW190603031-1a_2	26454502	10061831	3968175300	9432953	0.725846083463097	3939372455
287338-M1-S1_BDSW190603032-1a_1	26541391	10314816	3981208650	14369947	0.770700701657523	3950525447
287338-M1-S1_BDSW190603032-1a_2	26541391	10244270	3981208650	12322592	0.7352635235533309	3951936275
287338-M1-S2_BDSW190603033-1a_1	26657508	10247264	3998626200	7152203	0.636662136610819	3973168461
287338-M1-S2_BDSW190603033-1a_2	26657508	10228695	3998626200	8742893	0.6986635059811291	3970689258
292528-M1-S1_BDSW190603034-1a_1	27196063	10225166	4079409450	26927709	1.5247979091679555	4017206700
292528-M1-S1_BDSW190603034-1a_2	27196063	9988475	4079409450	25879714	1.525622906031166	4017173045
292528-M1-S2_BDSW190603035-1a_1	32536828	12310507	4880524200	10471483	0.6320441357508277	4849677133
292528-M1-S2_BDSW190603035-1a_2	32536828	12276249	4880524200	12274369	0.6853050539120368	4847077721
301004-M1-S1_BDSW190603036-1a_1	35487086	13570571	5323062900	14659721	0.7276109775069537	5284331710
301004-M1-S1_BDSW190603036-1a_2	35487086	13526913	5323062900	15220828	0.7707574336572277	5282034997
301004-M1-S2_BDSW190603037-1a_1	26058817	9821194	3908822550	5741481	0.5400745040216778	3887711996
301004-M1-S2_BDSW190603037-1a_2	26058817	9824095	3908822550	6874311	0.5908579298387439	3885726962
301004-M2-S1_BDSW190603038-1a_1	26376062	10015200	3956409300	10738458	0.7347173357417798	3927340875
301004-M2-S1_BDSW190603038-1a_2	26376062	9995920	3956409300	12003504	0.792353435222185	3925060555
301004-M2-S2_BDSW190603039-1a_1	25868677	9690221	3880301550	6049572	0.5655130333878304	3858357939
301004-M2-S2_BDSW190603039-1a_2	25868677	9677125	3880301550	7219026	0.6262512767854344	3856001112
307043-M1-S1_BDSW190603040-1a_1	29383259	11247897	4407488850	11132181	0.7028903544475217	4376509036
307043-M1-S1_BDSW190603040-1a_2	29383259	11209154	4407488850	11525541	0.732740276813179	4375193404
307043-M1-S2_BDSW190603041-1a_1	26228891	9960231	3934333650	7202417	0.6396287716980993	3909168520
307043-M1-S2_BDSW190603041-1a_2	26228891	9931382	3934333650	8953092	0.7072974860685748	3906506207
335225-M1-S2_BDSW190603042-1a_1	29721566	11303635	4458234900	7380504	0.590147347327975	4431924745
335225-M1-S2_BDSW190603042-1a_2	29721566	11290886	4458234900	10100521	0.6695749925603965	4428383674
357256-M1-S1_BDSW190603043-1a_1	33338751	12583019	5000812650	7715205	0.573333436116628	4972141319
357256-M1-S1_BDSW190603043-1a_2	33338751	12519716	5000812650	10886424	0.6651291965516845	4967550785
357256-M1-S2_BDSW190603044-1a_1	25748224	9713746	3862233600	6430610	0.5648475276068232	3840417869
357256-M1-S2_BDSW190603044-1a_2	25748224	9688628	3862233600	6923800	0.5992315690071155	3839089877
357256-M2-S1_BDSW190603045-1a_1	27190170	10186978	4078525500	20426126	1.2833994785615537	4026181725
357256-M2-S1_BDSW190603045-1a_2	27190170	10130483	4078525500	26840638	1.459471688971909	4019000575
357256-M2-S2_BDSW190603046-1a_1	29536667	11325611	4430500050	7245936	0.620148463828592	4403024372
357256-M2-S2_BDSW190603046-1a_2	29536667	11269623	4430500050	11670591	0.7580993481762854	4396912458
361840-M1-S1_BDSW190603047-1a_1	26294788	9933727	3944218200	11432606	0.8584275078899032	3910359946
361840-M1-S1_BDSW190603047-1a_2	26294788	9827244	3944218200	15583408	1.0080021941990938	3904460394
361840-M1-S2_BDSW190603048-1a_1	23892614	9177391	3583892100	6090364	0.6116203665841391	3561972286
361840-M1-S2_BDSW190603048-1a_2	23892614	9135439	3583892100	8079430	0.6862838588248792	3559296427
364070-M1-S1_BDSW190603049-2a_1	30122081	11274707	4518312150	10801255	0.7668160996800542	4483665005
364070-M1-S1_BDSW190603049-2a_2	30122081	11193244	4518312150	13851259	0.8654267501195109	4479209468
364070-M1-S2_BDSW190603050-1a_1	32937194	12447044	4940579100	8323137	0.5587711570086996	4912972569
364070-M1-S2_BDSW190603050-1a_2	32937194	12422477	4940579100	9763262	0.6123025942444682	4910327806
367193-M1-S1_BDSW190603051-1a_1	27568661	10391477	4135299150	11452472	0.6766503942042501	4107317632
367193-M1-S1_BDSW190603051-1a_2	27568661	10325966	4135299150	11109523	0.690519185292798	4106744116
367193-M1-S2_BDSW190603052-1a_1	31854266	12232592	4778139900	7703296	0.6029543630566363	4749329897
367193-M1-S2_BDSW190603052-1a_2	31854266	12164623	4778139900	10859551	0.6892729323392143	4745205475
372502-M1-S1_BDSW190603053-1a_1	24515609	9285107	3677341350	7690119	0.6585646991949768	3653123678
372502-M1-S1_BDSW190603053-1a_2	24515609	9226994	3677341350	7988749	0.6910707922178614	3651928318
372502-M1-S2_BDSW190603054-1a_1	28771258	11066140	4315688700	7008543	0.6252142560699524	4288706399
372502-M1-S2_BDSW190603054-1a_2	28771258	10993812	4315688700	11964340	0.7672156010696508	4282578063
372502-M2-S1_BDSW190603055-1a_1	26013769	10000796	3902065350	6204062	0.532903222648488	3881271118
372502-M2-S1_BDSW190603055-1a_2	26013769	9987971	3902065350	6274690	0.5472975997185696	3880709440
378882-M1-S1_BDSW190603056-1a_1	25845734	9863764	3876860100	12322526	0.8349167409987273	3844491546
378882-M1-S1_BDSW190603056-1a_2	25845734	9772236	3876860100	13391731	0.8852471101549421	3842540308
378882-M1-S2-1_BDSW190603058-1a_1	26368271	9969374	3955240650	7931445	0.6532851800054189	3929401649
378882-M1-S2-1_BDSW190603058-1a_2	26368271	9877881	3955240650	10315667	0.7357875683240664	3926138481
378882-M1-S2_BDSW190603057-1a_1	27258796	10366879	4088819400	14607439	1.0359891904249916	4046459673
378882-M1-S2_BDSW190603057-1a_2	27258796	10264641	4088819400	19608649	1.1864355026294386	4040308195
378882-M2-S1_BDSW190603059-1a_1	27423398	10340558	4113509700	11374847	0.7975524647480472	4080702302
378882-M2-S1_BDSW190603059-1a_2	27423398	10248022	4113509700	13399434	0.8692410522333277	4077753385
400605-M1-S1_BDSW190603060-1a_1	32846178	12433457	4926926700	11737552	0.6733533096808605	4893751076
400605-M1-S1_BDSW190603060-1a_2	32846178	12390156	4926926700	13853623	0.735080085522685	4890709843
400605-M1-S2_BDSW190603061-1a_1	27142515	10248708	4071377250	6455783	0.5423332362531622	4049296818
400605-M1-S2_BDSW190603061-1a_2	27142515	10205460	4071377250	7684330	0.589375818710978	4047381537
544292-M1-S1_BDSW190603062-1a_1	31661732	12063515	4749259800	9435769	0.60236826799831	4720651766
544292-M1-S1_BDSW190603062-1a_2	31661732	12054101	4749259800	11444789	0.6643256702865571	4717709248
544292-M1-S2_BDSW190603063-1a_1	31029421	11835762	4654413150	17854435	0.8575686711438584	4614498361
544292-M1-S2_BDSW190603063-1a_2	31029421	11778519	4654413150	18978717	0.8981354609656859	4612610215
593665-M1-S2_BDSW190603064-2a_1	27495933	10555309	4124389950	8830820	0.6341252722720847	4098236151
593665-M1-S2_BDSW190603064-2a_2	27495933	10476881	4124389950	10538149	0.6987914661173102	4095569065
594580-M1-S1_BDSW190603065-2a_1	30827667	11741118	4624150050	8309536	0.5878929901939492	4596964996
594580-M1-S1_BDSW190603065-2a_2	30827667	11727995	4624150050	10607240	0.6558349896106853	4593823256
594580-M1-S2_BDSW190603066-2a_1	28535364	10946179	4280304600	7492619	0.5630518444878899	4256204266
594580-M1-S2_BDSW190603066-2a_2	28535364	10933208	4280304600	9274124	0.6216255497330727	4253697133
601725-M1-S1_BDSW190603067-2a_1	29918647	11327466	4487797050	9272270	0.6489429596643637	4458673807
601725-M1-S1_BDSW190603067-2a_2	29918647	11306018	4487797050	11174831	0.7188671555457259	4455535751
601725-M1-S2_BDSW190603068-2a_1	26397181	9998556	3959577150	5587370	0.5619083593307432	3937327955
601725-M1-S2_BDSW190603068-2a_2	26397181	9973002	3959577150	8300915	0.666451946769114	3933188471
