"RowNumber","SiteName","UTM_E","UTM_N","ogsi","y","point.ID","poly.ID","AGENCY","UNIT_NAME","TS_NAME","YEAR","YrsSinceDi_cuts","TREATMENT_","class","elevation","canopy_ht","avg_min_temp","avg_max_temp","avg_precip","distance_rd","distance_stream","YrsSinceDist","in_hja"
"61","HOBO-040",566188,4896010,33,0,59,NA,NA,NA,NA,NA,NA,NA,NA,3527.86010742188,173.219970703125,3.53999996185303,14.2399997711182,2494.46997070312,212.091903787446,579.791383098711,200,1
"62","HOBO-053",567390,4899042,31,0,60,NA,NA,NA,NA,NA,NA,NA,NA,3057.48999023438,131.260009765625,3.40000009536743,14.1300001144409,2257.05004882812,42.9466276746712,703.124067732243,200,1
"63","HOBO-055",567366,4898430,54,0,61,275,"USFS","WIL",NA,1961,57,"Clearcut",2,2657.09008789062,119.030029296875,3.91000008583069,14.7399997711182,2224.31005859375,123.511680940041,298.435644188645,200,1
"65","HOBO-060",567335,4895070,0,0,62,397,"USFS","WIL","LOOKOUT RIDGE",1962,56,"Clearcut",2,3930.5,66.550048828125,3.25999999046326,14.0699996948242,2688.25,58.5429834427966,637.320643348336,200,1
"66","HOBO-063",567981,4899618,25,0,63,475,"USFS","WIL",NA,1976,42,"Clearcut",2,3417.47998046875,88.22998046875,2.90000009536743,13.7200002670288,2331.60009765625,7.74940949901927,501.033448275151,200,1
"67","HOBO-211",561037,4897206,64,0,64,NA,NA,NA,NA,NA,NA,NA,NA,1598.73999023438,86.0999755859375,3.96000003814697,15.8299999237061,2018.03002929688,85.7012090293359,19.2241305208884,200,1
"68","HOBO-216",569854,4894893,41,0,65,NA,NA,NA,NA,NA,NA,NA,NA,4680.31005859375,95.9697265625,1.86000001430511,12.1099996566772,2633.39990234375,605.702818149566,454.40056745492,200,1
"69","HOBO-233",569588,4895393,6,0,66,NA,NA,NA,NA,NA,NA,NA,NA,4907.52978515625,12.9404296875,1.86000001430511,12.1099996566772,2633.39990234375,774.001786834658,249.226266644445,200,1
"70","HOBO-242",567138,4898028,62,0,67,NA,NA,NA,NA,NA,NA,NA,NA,2408.02001953125,191.22998046875,3.91000008583069,14.7399997711182,2224.31005859375,99.6289790997043,10.5021577198067,200,1
"71","HOBO-265",567002,4902631,52,0,68,NA,NA,NA,NA,NA,NA,NA,NA,4140.47998046875,114.89990234375,2.34999990463257,12.539999961853,2252.55004882812,24.0259187139285,900.910164512247,200,1
"72","HOBO-270",568787,4903060,49,0,69,NA,NA,NA,NA,NA,NA,NA,NA,4568.64013671875,55.080078125,2.64000010490417,12.8599996566772,2336.32006835938,38.430418212274,549.183438988147,200,1
"73","HOBO-273",568187,4903479,55,0,70,NA,NA,NA,NA,NA,NA,NA,NA,5129.1201171875,54.93994140625,2.36999988555908,12.6000003814697,2295.23999023438,314.562636422315,693.514379596184,200,1
"74","HOBO-304",563838,4899204,44,0,71,NA,NA,NA,NA,NA,NA,NA,NA,2243.35009765625,102.47998046875,3.13000011444092,15.210000038147,2050.93994140625,82.8772695289282,338.000443436732,200,1
"75","HOBO-308",565339,4900448,26,0,72,212,"USFS","WIL",NA,1953,65,"Clearcut",2,2599.68994140625,99.820068359375,3.58999991416931,14.5100002288818,2053.75,37.6261456462886,29.702650842586,200,1
"76","HOBO-310",566024,4900657,13,0,73,198,"USFS","WIL","SNOWBRUSH",1982,36,"Clearcut",1,2802.36010742188,85.06982421875,3.58999991416931,14.539999961853,2137.42993164062,36.8295115708504,237.349953754046,200,1
"77","HOBO-312",566217,4901289,35,0,74,NA,NA,NA,NA,NA,NA,NA,NA,3017.6298828125,58.420166015625,3.04999995231628,13.8900003433228,2197.8798828125,119.590010966341,322.878211208284,200,1
"78","HOBO-315",565074,4901371,56,0,75,NA,NA,NA,NA,NA,NA,NA,NA,3113.830078125,187.119873046875,3.46000003814697,14.3800001144409,2008.75,98.9237906114221,524.494427467921,200,1
"79","HOBO-317",565908,4901747,63,0,76,NA,NA,NA,NA,NA,NA,NA,NA,3135.76000976562,158.139892578125,3.05999994277954,13.9099998474121,2165.8701171875,56.0752535147527,211.135424698417,200,1
"80","HOBO-331",570773,4896057,44,0,77,NA,NA,NA,NA,NA,NA,NA,NA,3658.36010742188,93.43994140625,3.04999995231628,13.8599996566772,2629.84008789062,56.9630623812033,41.4949208071286,200,1
"81","HOBO-333",570482,4895447,34,0,78,NA,NA,NA,NA,NA,NA,NA,NA,4128.43017578125,62.83984375,3.04999995231628,13.1099996566772,2670.92993164062,22.594292926056,132.188174979073,200,1
"82","HOBO-335",561569,4897314,37,0,79,535,"USFS","WIL","BLUE RIVER #1",1950,68,"Clearcut",2,1893.43994140625,111.220092773438,3.6800000667572,15.4300003051758,2069.97998046875,60.599663380919,257.800341549796,200,1
"83","HOBO-341",562271,4896245,43,0,80,NA,NA,NA,NA,NA,NA,NA,NA,2576.31005859375,22.280029296875,4.17000007629395,14.5699996948242,2220.06005859375,44.8744165149534,222.111412390035,200,1
"84","HOBO-345",563166,4896161,45,0,81,NA,NA,NA,NA,NA,NA,NA,NA,3384.93994140625,147.02001953125,3.63000011444092,14.3800001144409,2334.9599609375,46.3184508902445,228.450307238148,200,1
"85","HOBO-347",561126,4895741,16,0,82,386,"USFS","WIL",NA,1963,55,"Clearcut",2,2464.3798828125,108.490234375,4.17000007629395,15.0799999237061,2006.2099609375,175.181118154897,1075.91444433301,200,1
"86","HOBO-349",562728,4897662,58,0,83,NA,NA,NA,NA,NA,NA,NA,NA,1845.18005371094,121.75,3.54999995231628,15.2700004577637,2121.7900390625,15.4060273686158,304.545929640979,200,1
"87","HOBO-351",562061,4895889,49,0,84,NA,NA,NA,NA,NA,NA,NA,NA,2912.27001953125,32.739990234375,4.07999992370605,14.8699998855591,2075.419921875,12.8560031029966,585.036291192951,200,1
"88","HOBO-353",561562,4895681,38,0,85,361,"USFS","WIL",NA,1963,55,"Clearcut",2,2796.8798828125,79.27001953125,4.07999992370605,14.8699998855591,2075.419921875,12.7586282513576,1113.94723953069,200,1
"89","HOBO-357",562662,4895810,45,0,86,376,"USFS","WIL",NA,1959,59,"Clearcut",2,2856.77001953125,85.090087890625,4.17000007629395,14.5699996948242,2220.06005859375,20.7615827650314,253.2359115929,200,1
"90","SM-01",564995,4898345,59,0,87,NA,NA,NA,NA,NA,NA,NA,NA,2163.93994140625,31.530029296875,3.45000004768372,15.1499996185303,2126.57006835938,228.947734526078,326.268473511354,200,1
"91","SM-02",564907,4899864,61,0,88,NA,NA,NA,NA,NA,NA,NA,NA,2303.80004882812,101.06005859375,3.85999989509583,14.8100004196167,2034.59997558594,181.638675993059,211.235752558833,200,1
"92","SM-03",563938,4897565,77,0,89,NA,NA,NA,NA,NA,NA,NA,NA,2184.5,120.590087890625,4.05999994277954,14.8599996566772,2224.18994140625,315.868573261166,514.811470015825,200,1
"93","SM-04",564940,4900947,47,0,90,NA,NA,NA,NA,NA,NA,NA,NA,2836.32006835938,31.27001953125,3.58999991416931,14.5100002288818,2053.75,272.51147411606,415.731454699653,200,1
"94","SM-05",567847,4898820,43,0,91,NA,NA,NA,NA,NA,NA,NA,NA,3061.92993164062,162.150146484375,3.44000005722046,14.1199998855591,2292.919921875,188.539992479879,216.891765545627,200,1
"95","SM-06",567142,4897225,55,0,92,NA,NA,NA,NA,NA,NA,NA,NA,2747.57006835938,36.349853515625,3.82999992370605,14.6099996566772,2316.94995117188,263.433964048921,644.274430473535,200,1
"96","SM-07",566619,4899441,85,0,93,NA,NA,NA,NA,NA,NA,NA,NA,3521.0400390625,114.199951171875,3.26999998092651,14.039999961853,2200.35009765625,659.797279072006,1021.15169235212,200,1
"97","SM-08",567858,4902066,83,0,94,NA,NA,NA,NA,NA,NA,NA,NA,3713.07006835938,42.079833984375,2.76999998092651,13.6800003051758,2297.31005859375,234.898274072726,130.551407994713,200,1
"98","SM-09",568249,4900325,63,0,95,NA,NA,NA,NA,NA,NA,NA,NA,4113.43994140625,24.0302734375,2.8199999332428,13.4799995422363,2285.30004882812,308.843197777476,726.323971652615,200,1
"99","SM-PG",560282,4896168,81,0,96,NA,NA,NA,NA,NA,NA,NA,NA,1534.72998046875,198.010009765625,3.96000003814697,15.8699998855591,2031.43005371094,65.5201514319583,199.280161321925,200,1
