,fastq_files,sample,site,period,trap,UTM_E,UTM_N
213,378882-M2-S1_BDSW190603059-1a.pair1.truncated,378882-M2-S1,378882,1,2,555122,4899228
214,378882-M2-S1_BDSW190603059-1a.pair2.truncated,378882-M2-S1,378882,1,2,555122,4899228
215,400605-M1-S1_BDSW190603060-1a.pair1.truncated,400605-M1-S1,400605,1,1,556312,4894446
216,400605-M1-S1_BDSW190603060-1a.pair2.truncated,400605-M1-S1,400605,1,1,556312,4894446
217,400605-M1-S2_BDSW190603061-1a.pair1.truncated,400605-M1-S2,400605,2,1,556312,4894446
218,400605-M1-S2_BDSW190603061-1a.pair2.truncated,400605-M1-S2,400605,2,1,556312,4894446
219,544292-M1-S1_BDSW190603062-1a.pair1.truncated,544292-M1-S1,544292,1,1,562145,4894663
220,544292-M1-S1_BDSW190603062-1a.pair2.truncated,544292-M1-S1,544292,1,1,562145,4894663
221,544292-M1-S2_BDSW190603063-1a.pair1.truncated,544292-M1-S2,544292,2,1,562145,4894663
222,544292-M1-S2_BDSW190603063-1a.pair2.truncated,544292-M1-S2,544292,2,1,562145,4894663
223,593665-M1-S2_BDSW190603064-2a.pair1.truncated,593665-M1-S2,593665,2,1,NA,NA
224,593665-M1-S2_BDSW190603064-2a.pair2.truncated,593665-M1-S2,593665,2,1,NA,NA
225,594580-M1-S1_BDSW190603065-2a.pair1.truncated,594580-M1-S1,594580,1,1,562541,4893290
226,594580-M1-S1_BDSW190603065-2a.pair2.truncated,594580-M1-S1,594580,1,1,562541,4893290
227,594580-M1-S2_BDSW190603066-2a.pair1.truncated,594580-M1-S2,594580,2,1,562541,4893290
228,594580-M1-S2_BDSW190603066-2a.pair2.truncated,594580-M1-S2,594580,2,1,562541,4893290
229,601725-M1-S1_BDSW190603067-2a.pair1.truncated,601725-M1-S1,601725,1,1,561397,4893019
230,601725-M1-S1_BDSW190603067-2a.pair2.truncated,601725-M1-S1,601725,1,1,561397,4893019
231,601725-M1-S2_BDSW190603068-2a.pair1.truncated,601725-M1-S2,601725,2,1,561397,4893019
232,601725-M1-S2_BDSW190603068-2a.pair2.truncated,601725-M1-S2,601725,2,1,561397,4893019
233,601725-M2-S1_BDSW190603069-1a.pair1.truncated,601725-M2-S1,601725,1,2,561397,4893019
234,601725-M2-S1_BDSW190603069-1a.pair2.truncated,601725-M2-S1,601725,1,2,561397,4893019
235,601725-M2-S2_BDSW190603070-2a.pair1.truncated,601725-M2-S2,601725,2,2,561397,4893019
236,601725-M2-S2_BDSW190603070-2a.pair2.truncated,601725-M2-S2,601725,2,2,561397,4893019
237,622337-M1-S1_BDSW190603071-2a.pair1.truncated,622337-M1-S1,622337,1,1,564488,4892832
238,622337-M1-S1_BDSW190603071-2a.pair2.truncated,622337-M1-S1,622337,1,1,564488,4892832
239,622337-M1-S2_BDSW190603072-1a.pair1.truncated,622337-M1-S2,622337,2,1,564488,4892832
240,622337-M1-S2_BDSW190603072-1a.pair2.truncated,622337-M1-S2,622337,2,1,564488,4892832
241,642613-M1-S1_BDSW190603073-1a.pair1.truncated,642613-M1-S1,642613,1,1,556854,4891361
242,642613-M1-S1_BDSW190603073-1a.pair2.truncated,642613-M1-S1,642613,1,1,556854,4891361
243,642613-M1-S2_BDSW190603074-2a.pair1.truncated,642613-M1-S2,642613,2,1,556854,4891361
244,642613-M1-S2_BDSW190603074-2a.pair2.truncated,642613-M1-S2,642613,2,1,556854,4891361
245,647830-M1-S1_BDSW190603075-1a.pair1.truncated,647830-M1-S1,647830,1,1,559534,4891481
246,647830-M1-S1_BDSW190603075-1a.pair2.truncated,647830-M1-S1,647830,1,1,559534,4891481
247,647830-M1-S2_BDSW190603076-1a.pair1.truncated,647830-M1-S2,647830,2,1,559534,4891481
248,647830-M1-S2_BDSW190603076-1a.pair2.truncated,647830-M1-S2,647830,2,1,559534,4891481
249,650846-M1-S1_BDSW190603077-1a.pair1.truncated,650846-M1-S1,650846,1,1,557737,4891311
250,650846-M1-S1_BDSW190603077-1a.pair2.truncated,650846-M1-S1,650846,1,1,557737,4891311
251,650846-M1-S2_BDSW190603078-1a.pair1.truncated,650846-M1-S2,650846,2,1,557737,4891311
252,650846-M1-S2_BDSW190603078-1a.pair2.truncated,650846-M1-S2,650846,2,1,557737,4891311
253,652934-M1-S1_BDSW190603079-1a.pair1.truncated,652934-M1-S1,652934,1,1,558826,4891351
254,652934-M1-S1_BDSW190603079-1a.pair2.truncated,652934-M1-S1,652934,1,1,558826,4891351
255,652934-M1-S2_BDSW190603080-1a.pair1.truncated,652934-M1-S2,652934,2,1,558826,4891351
256,652934-M1-S2_BDSW190603080-1a.pair2.truncated,652934-M1-S2,652934,2,1,558826,4891351
257,652934-M2-S1_BDSW190603081-1a.pair1.truncated,652934-M2-S1,652934,1,2,558826,4891351
258,652934-M2-S1_BDSW190603081-1a.pair2.truncated,652934-M2-S1,652934,1,2,558826,4891351
259,652934-M2-S2_BDSW190603082-1a.pair1.truncated,652934-M2-S2,652934,2,2,558826,4891351
260,652934-M2-S2_BDSW190603082-1a.pair2.truncated,652934-M2-S2,652934,2,2,558826,4891351
